flow 1
0 2 3
1 4 7
2 8 12
3 10 15
4 12 18
5 14 20
6 16 23
7 18 26
11 19 28
8 20 29
12 20 31
9 22 33
10 24 36
13 29 42
14 30 44
15 31 45
16 32 47
17 33 48
18 40 55
19 43 58
flow 2
0 2 4
1 4 6
2 6 9
3 8 11
4 10 14
5 12 17
6 14 21
7 16 24
8 18 27
9 20 30
10 22 34
11 24 37
12 26 39
13 28 41
14 30 43
15 32 46
16 35 50
17 37 52
18 39 54
19 41 56
